GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,ValidationResult,0,88,0,2,0,15,0,10,0,9
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,CatalogBasedMigration.Operation,0,44,0,0,0,6,0,6,0,6
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,ResourceDiscoverer,13,290,3,23,5,58,3,22,0,12
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,CatalogBasedMigration.OperationContext,0,15,0,0,0,6,0,1,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,CatalogBasedMigration.DefaultCounters,0,67,0,2,0,20,0,8,0,7
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,DefaultCatalog,0,354,0,18,0,68,0,30,0,21
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,Migration,0,2,0,0,0,1,0,1,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,CatalogBasedMigration,101,606,13,47,21,147,12,43,3,22
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,CypherResource,10,30,0,0,3,4,1,5,1,5
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,VersionPrecondition.Mode,0,21,0,0,0,4,0,1,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,Precondition,0,97,0,6,0,17,0,10,0,7
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,DefaultMigrationContext.SessionProxy,0,40,0,2,0,12,0,3,0,2
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,ResourceDiscoverer.new SimpleFileVisitor() {...},0,49,1,3,0,7,1,3,0,2
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,EditionPrecondition,0,81,0,2,0,17,0,9,0,8
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,DatabaseCatalog,0,79,1,5,0,17,1,8,0,6
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,CatalogBasedMigration.VerificationFailedException,0,4,0,0,0,2,0,1,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,ValidationResult.Outcome,0,33,0,0,0,6,0,1,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,Precondition.Type,0,61,0,4,0,13,0,6,0,4
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,JavaBasedMigration,0,21,0,0,0,3,0,4,0,4
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,CypherBasedMigration,0,32,0,0,0,10,0,5,0,5
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,Migrations.DeletedChainsWithCounters,0,26,0,0,0,10,0,2,0,2
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,Location.LocationType,0,28,0,0,0,7,0,3,0,3
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,LifecyclePhase,12,118,0,0,0,23,1,6,1,6
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,CatalogBasedMigration.DefaultOperationBuilder,4,106,1,3,1,25,1,10,0,9
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,MigrationsConfig,9,249,0,30,3,57,3,35,3,20
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,ProductVersion,6,72,1,7,2,23,1,7,0,4
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,ResourceContext,6,48,0,2,2,13,0,7,0,6
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,CleanResult,0,123,0,4,0,23,0,11,0,9
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,Neo4jCodes,0,17,0,0,0,2,0,1,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,AbstractPrecondition,0,9,0,0,0,4,0,2,0,2
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,MigrationWithPreconditions,3,0,0,0,2,0,2,0,2,0
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,MigrationContext,0,6,0,0,0,1,0,1,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,MigrationVersion.VersionComparator,2,12,1,1,1,3,1,2,0,2
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,VersionedCatalog,0,10,0,0,0,2,0,2,0,2
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,MigrationChain.ChainBuilderMode,0,21,0,0,0,4,0,1,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,ChainBuilder,0,260,1,25,0,54,1,21,0,9
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,StopWatch,25,65,5,5,5,18,5,6,0,6
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,ChainBuilder.DefaultChainElement.InstallationInfo,0,21,0,0,0,8,0,4,0,4
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,JavaBasedMigrationDiscoverer,15,44,0,2,2,15,0,4,0,3
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,DiscoveryService,7,344,2,22,2,65,2,26,0,16
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,MigrationChain,3,79,1,3,1,17,1,4,0,3
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,Defaults,0,10,0,0,0,4,0,1,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,MigrationType,0,21,0,0,0,4,0,1,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,AggregatingMigrationDiscoverer,0,30,0,2,0,8,0,3,0,2
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,ResourceBasedMigrationProvider,9,36,3,3,1,9,2,3,0,2
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,DefaultCypherResource,84,366,4,36,6,94,4,34,0,18
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,MigrationsLock,49,387,1,9,5,70,2,17,1,13
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,CatalogBasedMigration.EmptyCounters,0,34,0,2,0,10,0,7,0,6
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,CypherBasedCallback,0,104,0,6,0,20,0,10,0,7
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,CypherResourceBasedMigrationProvider,2,15,0,0,1,3,1,3,1,3
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,Location,0,122,0,10,0,22,0,10,0,5
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,DefaultMigrationContext.ExtendedResultSummary,0,20,0,0,0,7,0,1,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,MigrationState,0,15,0,0,0,3,0,1,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,DefaultMigrationContext,3,389,1,17,2,80,1,29,0,21
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,DefaultClasspathResourceScanner,0,30,0,0,0,8,0,2,0,2
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,MigrationsConfig.Builder,0,70,0,0,0,27,0,13,0,13
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,MigrationsConfig.TransactionMode,0,15,0,0,0,3,0,1,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,ChainBuilder.DefaultChainElement,0,159,0,0,0,34,0,12,0,12
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,CatalogBasedMigration.DefaultApplyOperation,3,126,0,0,1,28,1,4,1,4
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,Migrations,24,1009,6,44,3,198,7,60,1,41
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,CatalogBasedMigration.DefaultCreateOperation,7,104,2,10,0,22,2,8,0,4
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,CatalogBasedMigration.DefaultVerifyOperation,0,133,1,11,0,39,1,12,0,7
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,CatalogBasedMigration.OperationType,31,205,4,28,4,41,3,21,0,7
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,HBD,7,152,6,24,1,25,6,16,0,7
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,CatalogBasedMigration.AbstractItemBasedOperation,3,78,0,10,1,17,1,10,1,5
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,ChainBuilder.DefaultMigrationChain,0,60,1,3,0,14,1,11,0,10
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,AbstractCypherBasedMigration,0,38,0,0,0,11,0,6,0,6
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,CatalogBasedMigration.DefaultDropOperation,25,156,4,16,1,31,3,14,0,7
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,DefaultMigrationContext.DriverProxy,16,61,2,4,4,15,2,3,0,2
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,DefaultConnectionDetails,0,42,0,0,0,14,0,7,0,7
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,QueryPrecondition.Database,0,15,0,0,0,3,0,1,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,DefaultCatalogBasedMigrationProvider,2,10,0,0,1,3,1,3,1,3
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,BookmarkManager,0,55,0,0,0,13,0,3,0,3
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,CatalogBasedMigration.Counters,0,52,2,6,0,7,2,6,0,4
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,VersionPrecondition,4,233,1,17,1,39,1,17,0,9
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,DefaultLifecycleEvent,0,15,0,0,0,6,0,3,0,3
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,MigrationsException,0,9,0,0,0,4,0,2,0,2
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,OperationResult,2,0,0,0,1,0,1,0,1,0
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,QueryPrecondition,3,126,2,8,0,23,2,12,0,9
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,MigrationChainFormat,378,3,14,0,55,1,22,1,15,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core,MigrationVersion,4,118,3,7,2,25,3,15,0,13
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,Index.DefaultBuilder,0,48,0,0,0,10,0,6,0,6
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,GeneratedName,0,4,0,0,0,2,0,1,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,CatalogToXMLRenderer,6,84,1,3,2,20,1,3,0,2
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,Name,4,62,2,2,0,8,2,2,0,2
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,AbstractCatalogItem.Target,0,15,0,0,0,6,0,3,0,3
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,RenderConfig.Builder,0,7,0,0,0,1,0,1,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,Constraint,30,400,3,35,4,64,3,29,0,12
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,DefaultName,0,10,0,0,0,3,0,2,0,2
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,IndexToXMLRenderer,6,56,0,0,2,16,0,2,0,2
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,EmptyCatalog,0,11,0,0,0,3,0,2,0,2
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,Index,36,417,9,38,6,69,10,29,1,13
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,CatalogDiffImpl,0,65,0,10,0,14,0,12,0,7
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,AnonymousCatalogItem,6,18,0,0,2,6,0,2,0,2
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,TargetEntityType,0,15,0,0,0,3,0,1,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,CatalogDiff,0,131,2,18,0,22,2,9,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,RenderConfig.DefaultBuilder,0,21,0,0,0,6,0,3,0,3
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,RenderConfig.IfNotExistsConfigBuilder,0,4,0,0,0,1,0,1,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,CatalogItem,4,0,0,0,1,0,1,0,1,0
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,Constraint.DefaultBuilder,0,53,0,0,0,9,0,5,0,5
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,CatalogImpl,0,13,0,0,0,4,0,2,0,2
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,AbstractContext,16,0,0,0,6,0,3,0,3,0
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,AbstractCatalogItem,39,381,5,33,8,79,5,32,1,17
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,Operator,0,15,0,0,0,3,0,1,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,Index.Type,0,38,0,0,0,7,0,2,0,2
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,RenderConfig.IfExistsConfigBuilder,0,4,0,0,0,1,0,1,0,1
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,AbstractName,3,41,1,5,1,11,2,6,1,4
Neo4j Migrations (Test Results)/neo4j-migrations,ac.simons.neo4j.migrations.core.catalog,Constraint.Type,0,26,0,0,0,5,0,2,0,2
